id,key,value,type
9945841,oneway,yes,regular
9945841,highway,motorway_link,regular
9945841,old_ref,SH 5 (old US 75),regular
9945841,placement,transition,regular
9945841,cfcc,A63,tiger
9945841,county,"Dallas, TX",tiger
9945927,highway,service,regular
9945927,cfcc,A73,tiger
9945927,tlid,102966396:102966399,tiger
9945927,county,"Dallas, TX",tiger
9945927,source,tiger_import_dch_v0.6_20070829,tiger
9945927,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9946015,oneway,yes,regular
9946015,highway,motorway_link,regular
9946015,cfcc,A63,tiger
9946015,county,"Dallas, TX",tiger
9946015,reviewed,no,tiger
9946115,lanes,1,regular
9946115,oneway,yes,regular
9946115,highway,motorway_link,regular
9946115,placement,transition,regular
9946115,cfcc,A64,tiger
9946115,county,"Dallas, TX",tiger
9946117,lanes,1,regular
9946117,oneway,yes,regular
9946117,highway,motorway_link,regular
9946117,placement,transition,regular
9946117,cfcc,A63,tiger
9946117,county,"Dallas, TX",tiger
9946318,highway,service,regular
9946318,cfcc,A41,tiger
9946318,county,"Dallas, TX",tiger
9946318,reviewed,no,tiger
9946603,highway,service,regular
9946603,cfcc,A63,tiger
9946603,county,"Dallas, TX",tiger
9946603,reviewed,no,tiger
9946605,highway,secondary_link,regular
9946605,oneway,yes,regular
9946605,cfcc,A63,tiger
9946605,county,"Dallas, TX",tiger
9946605,reviewed,no,tiger
9946692,highway,service,regular
9946692,service,driveway,regular
9946692,cfcc,A41,tiger
9946692,county,"Dallas, TX",tiger
9946692,reviewed,no,tiger
9946765,highway,service,regular
9946765,cfcc,A73,tiger
9946765,county,"Dallas, TX",tiger
9946828,highway,residential,regular
9946828,cfcc,A41,tiger
9946828,county,"Dallas, TX",tiger
9946828,reviewed,no,tiger
9946865,highway,secondary_link,regular
9946870,oneway,yes,regular
9946870,highway,motorway_link,regular
9946870,cfcc,A63,tiger
9946870,destination,North Garland Avenue;Holford Road,regular
9946870,county,"Dallas, TX",tiger
9946870,reviewed,no,tiger
9946916,highway,unclassified,regular
9946916,created_by,Potlatch 0.10b,regular
9946916,cfcc,A63,tiger
9946916,tlid,103274001,tiger
9946916,county,"Dallas, TX",tiger
9946916,source,tiger_import_dch_v0.6_20070829,tiger
9946916,reviewed,no,tiger
9946916,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9947034,oneway,yes,regular
9947034,highway,unclassified,regular
9947034,cfcc,A63,tiger
9947034,county,"Dallas, TX",tiger
9947034,reviewed,no,tiger
9947196,highway,unclassified,regular
9947196,created_by,Potlatch 0.10f,regular
9947196,cfcc,A63,tiger
9947196,tlid,103257012,tiger
9947196,county,"Dallas, TX",tiger
9947196,source,tiger_import_dch_v0.6_20070829,tiger
9947196,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9947267,oneway,yes,regular
9947267,highway,unclassified,regular
9947267,cfcc,A63,tiger
9947267,county,"Dallas, TX",tiger
9947267,reviewed,no,tiger
9947279,oneway,yes,regular
9947279,highway,secondary_link,regular
9947279,cfcc,A63,tiger
9947279,county,"Dallas, TX",tiger
9947279,reviewed,no,tiger
9947327,highway,secondary_link,regular
9947327,cfcc,A63,tiger
9947327,county,"Dallas, TX",tiger
9947327,reviewed,no,tiger
9947497,highway,residential,regular
9947497,cfcc,A41,tiger
9947497,tlid,102916447,tiger
9947497,county,"Dallas, TX",tiger
9947497,source,tiger_import_dch_v0.6_20070829,tiger
9947497,reviewed,no,tiger
9947497,separated,no,tiger
9947497,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9947548,access,private,regular
9947548,oneway,yes,regular
9947548,highway,service,regular
9947548,cfcc,A74,tiger
9947548,county,"Dallas, TX",tiger
9947548,reviewed,no,tiger
9947703,oneway,yes,regular
9947703,highway,secondary_link,regular
9947703,cfcc,A63,tiger
9947703,tlid,103254290,tiger
9947703,county,"Dallas, TX",tiger
9947703,source,tiger_import_dch_v0.6_20070829,tiger
9947703,reviewed,no,tiger
9947703,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9947768,oneway,yes,regular
9947768,highway,motorway_link,regular
9947768,cfcc,A63,tiger
9947768,county,"Dallas, TX",tiger
9947768,reviewed,no,tiger
9947770,oneway,yes,regular
9947770,highway,motorway_link,regular
9947770,cfcc,A63,tiger
9947770,county,"Dallas, TX",tiger
9947770,reviewed,no,tiger
9947867,highway,unclassified,regular
9947867,created_by,Potlatch 0.10b,regular
9947867,cfcc,A63,tiger
9947867,tlid,103257334,tiger
9947867,county,"Dallas, TX",tiger
9947867,source,tiger_import_dch_v0.6_20070829,tiger
9947867,reviewed,no,tiger
9947867,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9947943,highway,unclassified,regular
9947943,created_by,Potlatch 0.10f,regular
9947943,cfcc,A63,tiger
9947943,tlid,103257022,tiger
9947943,county,"Dallas, TX",tiger
9947943,source,tiger_import_dch_v0.6_20070829,tiger
9947943,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9948014,name,Custer Road,regular
